US Equity,Foreign EQ,Emerging EQ
-0.0604,-0.073457244,-0.090098804
-0.0308,-0.050415831,-0.029726863
0.0775,0.078230967,0.071401814
0.0056,-0.015438644,-0.038939965
-0.0217,-0.013390109,-0.021825115
-0.0577,-0.072320224,-0.064918179
-0.0007,-0.018172608,-0.0017261
0.0696,0.065740269,0.132376059
0.0092,0.029945811,0.00553443
0.0178,-0.007936055,-0.037204764
-0.0005,-0.033351085,0.040750434
0.0395,0.050561653,0.050698358
0.005,0.00063871,0.024984474
0.0025,0.012536312,0.012955869
-0.0202,-0.020583635,0.002271994
0.0486,-0.019897125,-0.046069814
0.0182,0.034083274,0.002599726
